No,Sampling_ID,Soil_type,Sampling_time,Variety,Treatment,Replicate
R_W5_T2_191,R_W5_T2_191,rhizo,W5,PASJA_POMORSKA,2,1
R_W5_T2_192,R_W5_T2_192,rhizo,W5,JELLY,2,1
R_W5_T2_193,R_W5_T2_193,rhizo,W5,KRAB,2,3
R_W5_T2_196,R_W5_T2_196,rhizo,W5,ATOL,2,2
R_W5_T2_197,R_W5_T2_197,rhizo,W5,DESIREE,2,2
R_W5_T2_198,R_W5_T2_198,rhizo,W5,KRAB,2,2
R_W5_T2_200,R_W5_T2_200,rhizo,W5,DESIREE,2,1
R_W5_T2_203,R_W5_T2_203,rhizo,W5,KRAB,2,1
R_W5_T3_100,R_W5_T3_100,rhizo,W5,SALTO,3,2
R_W5_T3_101,R_W5_T3_101,rhizo,W5,PASJA_POMORSKA,3,3
R_W5_T3_103,R_W5_T3_103,rhizo,W5,DESIREE,3,3
R_W5_T3_104,R_W5_T3_104,rhizo,W5,SALTO,3,1
R_W5_T3_121,R_W5_T3_121,rhizo,W5,PASJA_POMORSKA,3,2
R_W5_T3_122,R_W5_T3_122,rhizo,W5,SALTO,3,3
R_W5_T3_124,R_W5_T3_124,rhizo,W5,KRAB,3,1
R_W5_T3_125,R_W5_T3_125,rhizo,W5,ATOL,3,3
R_W5_T3_128,R_W5_T3_128,rhizo,W5,KRAB,3,3
R_W5_T3_129,R_W5_T3_129,rhizo,W5,RUDAWA,3,3
R_W5_T3_130,R_W5_T3_130,rhizo,W5,JELLY,3,3
R_W5_T3_132,R_W5_T3_132,rhizo,W5,ATOL,3,1
R_W5_T3_133,R_W5_T3_133,rhizo,W5,JELLY,3,2
R_W5_T3_72,R_W5_T3_72,rhizo,W5,RUDAWA,3,1
R_W5_T3_74,R_W5_T3_74,rhizo,W5,DESIREE,3,2
R_W5_T3_76,R_W5_T3_76,rhizo,W5,KRAB,3,2
R_W5_T3_77,R_W5_T3_77,rhizo,W5,ATOL,3,2
R_W5_T3_92,R_W5_T3_92,rhizo,W5,DESIREE,3,1
R_W5_T3_94,R_W5_T3_94,rhizo,W5,RUDAWA,3,2
R_W5_T3_98,R_W5_T3_98,rhizo,W5,PASJA_POMORSKA,3,1
R_W5_T4_107,R_W5_T4_107,rhizo,W5,DESIREE,4,3
R_W5_T4_109,R_W5_T4_109,rhizo,W5,PASJA_POMORSKA,4,3
R_W5_T4_110,R_W5_T4_110,rhizo,W5,PASJA_POMORSKA,4,1
R_W5_T4_113,R_W5_T4_113,rhizo,W5,RUDAWA,4,2
R_W5_T4_114,R_W5_T4_114,rhizo,W5,KRAB,4,3
R_W5_T4_115,R_W5_T4_115,rhizo,W5,DESIREE,4,1
R_W5_T4_116,R_W5_T4_116,rhizo,W5,KRAB,4,1
R_W5_T4_118,R_W5_T4_118,rhizo,W5,JELLY,4,1
R_W5_T4_134,R_W5_T4_134,rhizo,W5,RUDAWA,4,1
R_W5_T4_136,R_W5_T4_136,rhizo,W5,JELLY,4,3
R_W5_T4_137,R_W5_T4_137,rhizo,W5,SALTO,4,2
R_W5_T4_139,R_W5_T4_139,rhizo,W5,ATOL,4,3
R_W5_T4_140,R_W5_T4_140,rhizo,W5,JELLY,4,2
R_W5_T4_78,R_W5_T4_78,rhizo,W5,PASJA_POMORSKA,4,2
R_W5_T4_79,R_W5_T4_79,rhizo,W5,SALTO,4,3
R_W5_T4_81,R_W5_T4_81,rhizo,W5,DESIREE,4,2
R_W5_T4_84,R_W5_T4_84,rhizo,W5,SALTO,4,1
R_W5_T4_85,R_W5_T4_85,rhizo,W5,RUDAWA,4,3
R_W5_T4_87,R_W5_T4_87,rhizo,W5,ATOL,4,2
R_W5_T4_90,R_W5_T4_90,rhizo,W5,KRAB,4,2
R_W5_T4_91,R_W5_T4_91,rhizo,W5,ATOL,4,1
R_W5_T5_10,R_W5_T5_10,rhizo,W5,DESIREE,5,2
R_W5_T5_11,R_W5_T5_11,rhizo,W5,ATOL,5,3
R_W5_T5_12,R_W5_T5_12,rhizo,W5,DESIREE,5,1
R_W5_T5_13,R_W5_T5_13,rhizo,W5,ATOL,5,1
R_W5_T5_14,R_W5_T5_14,rhizo,W5,PASJA_POMORSKA,5,2
R_W5_T5_15,R_W5_T5_15,rhizo,W5,RUDAWA,5,3
R_W5_T5_18,R_W5_T5_18,rhizo,W5,KRAB,5,2
R_W5_T5_19,R_W5_T5_19,rhizo,W5,JELLY,5,3
R_W5_T5_20,R_W5_T5_20,rhizo,W5,RUDAWA,5,1
R_W5_T5_21,R_W5_T5_21,rhizo,W5,JELLY,5,1
R_W5_T5_37,R_W5_T5_37,rhizo,W5,PASJA_POMORSKA,5,1
R_W5_T5_39,R_W5_T5_39,rhizo,W5,PASJA_POMORSKA,5,3
R_W5_T5_41,R_W5_T5_41,rhizo,W5,KRAB,5,3
R_W5_T5_43,R_W5_T5_43,rhizo,W5,SALTO,5,3
R_W5_T5_45,R_W5_T5_45,rhizo,W5,JELLY,5,2
R_W5_T5_46,R_W5_T5_46,rhizo,W5,SALTO,5,2
R_W5_T5_48,R_W5_T5_48,rhizo,W5,DESIREE,5,3
R_W5_T5_49,R_W5_T5_49,rhizo,W5,RUDAWA,5,2
R_W5_T5_65,R_W5_T5_65,rhizo,W5,SALTO,5,1
R_W5_T5_68,R_W5_T5_68,rhizo,W5,KRAB,5,1
R_W5_T5_69,R_W5_T5_69,rhizo,W5,ATOL,5,2
R_W5_T6_1,R_W5_T6_1,rhizo,W5,ATOL,6,2
R_W5_T6_22,R_W5_T6_22,rhizo,W5,KRAB,6,3
R_W5_T6_23,R_W5_T6_23,rhizo,W5,KRAB,6,1
R_W5_T6_24,R_W5_T6_24,rhizo,W5,PASJA_POMORSKA,6,3
R_W5_T6_25,R_W5_T6_25,rhizo,W5,DESIREE,6,3
R_W5_T6_27,R_W5_T6_27,rhizo,W5,RUDAWA,6,2
R_W5_T6_29,R_W5_T6_29,rhizo,W5,ATOL,6,1
R_W5_T6_32,R_W5_T6_32,rhizo,W5,SALTO,6,2
R_W5_T6_33,R_W5_T6_33,rhizo,W5,JELLY,6,2
R_W5_T6_35,R_W5_T6_35,rhizo,W5,ATOL,6,3
R_W5_T6_4,R_W5_T6_4,rhizo,W5,PASJA_POMORSKA,6,2
R_W5_T6_5,R_W5_T6_5,rhizo,W5,DESIREE,6,1
R_W5_T6_50,R_W5_T6_50,rhizo,W5,SALTO,6,3
R_W5_T6_51,R_W5_T6_51,rhizo,W5,JELLY,6,1
R_W5_T6_54,R_W5_T6_54,rhizo,W5,RUDAWA,6,3
R_W5_T6_55,R_W5_T6_55,rhizo,W5,JELLY,6,3
R_W5_T6_56,R_W5_T6_56,rhizo,W5,DESIREE,6,2
R_W5_T6_57,R_W5_T6_57,rhizo,W5,PASJA_POMORSKA,6,1
R_W5_T6_6,R_W5_T6_6,rhizo,W5,SALTO,6,1
R_W5_T6_61,R_W5_T6_61,rhizo,W5,RUDAWA,6,1
R_W5_T6_62,R_W5_T6_62,rhizo,W5,KRAB,6,2
